record_id,duration_hours,model_id,previous_reported_crps_mm,legacy_formula_crps_mm,corrected_crps_mm,zero_mass_term_mean_mm,scoring_version
6h_06486,6,0125,3.5720210909153787,3.572021090915379,3.571522885922664,-0.0004982049927152292,csgd_crps_zero_mass_v1
6h_06486,6,3km,3.6096618562252143,3.6096618562252143,3.608831101801538,-0.0008307544236766281,csgd_crps_zero_mass_v1
6h_06486,6,gnn_csgd,,3.61765082725654,3.6175940745876223,-5.6752668917859886e-05,csgd_crps_zero_mass_v1
12h_06471,12,025,4.477702444314406,4.477702444314405,4.475236181927139,-0.0024662623872666566,csgd_crps_zero_mass_v1
12h_06471,12,0125,4.585740767178499,4.585740767178499,4.583558867337241,-0.0021818998412573808,csgd_crps_zero_mass_v1
12h_06471,12,3km,4.599503491642862,4.599503491642862,4.598000185186207,-0.0015033064566554158,csgd_crps_zero_mass_v1
12h_06471,12,gnn_csgd,,4.496381827341259,4.495013768545696,-0.0013680587955621508,csgd_crps_zero_mass_v1
12h_06472,12,025,8.04389581563513,8.04389581563513,8.042076282423341,-0.0018195332117883485,csgd_crps_zero_mass_v1
12h_06472,12,0125,8.13959886361797,8.13959886361797,8.138131654963122,-0.0014672086548471236,csgd_crps_zero_mass_v1
12h_06472,12,3km,8.023916344308923,8.02391634430892,8.02281693766102,-0.0010994066479009853,csgd_crps_zero_mass_v1
12h_06472,12,gnn_csgd,,7.790005352799582,7.78817492511254,-0.0018304276870405593,csgd_crps_zero_mass_v1
12h_06473,12,025,15.590681808498532,15.59068180849853,15.588657507586916,-0.002024300911617458,csgd_crps_zero_mass_v1
12h_06473,12,0125,15.633364751260066,15.633364751260066,15.632005133944809,-0.001359617315255265,csgd_crps_zero_mass_v1
12h_06473,12,3km,15.804031563948623,15.804031563948621,15.802914511821406,-0.0011170521272157994,csgd_crps_zero_mass_v1
12h_06473,12,gnn_csgd,,15.30410865474797,15.302487524411873,-0.0016211303360979873,csgd_crps_zero_mass_v1
12h_06474,12,025,17.51592010329688,17.51592010329688,17.514719951768118,-0.001200151528767477,csgd_crps_zero_mass_v1
12h_06474,12,0125,17.48170876206326,17.48170876206326,17.480720012609183,-0.0009887494540730716,csgd_crps_zero_mass_v1
12h_06474,12,3km,17.63697114559795,17.63697114559795,17.63623221234847,-0.0007389332494816776,csgd_crps_zero_mass_v1
12h_06474,12,gnn_csgd,,17.25031451356325,17.249150365318467,-0.0011641482447787741,csgd_crps_zero_mass_v1
12h_06475,12,025,8.890370903880177,8.890370903880177,8.889489618471023,-0.0008812854091543479,csgd_crps_zero_mass_v1
12h_06475,12,0125,8.935308440660993,8.935308440660991,8.934536330707953,-0.0007721099530407628,csgd_crps_zero_mass_v1
12h_06475,12,3km,8.943544783213067,8.943544783213067,8.94279274488374,-0.0007520383293285661,csgd_crps_zero_mass_v1
12h_06475,12,gnn_csgd,,8.760837004777384,8.759345967518273,-0.0014910372591115304,csgd_crps_zero_mass_v1
12h_06476,12,025,4.516633512833236,4.516633512833236,4.515680289529586,-0.0009532233036507285,csgd_crps_zero_mass_v1
12h_06476,12,0125,4.554632224700175,4.554632224700175,4.553814707511681,-0.0008175171884937698,csgd_crps_zero_mass_v1
12h_06476,12,3km,4.561931032982932,4.561931032982932,4.5610722347814106,-0.0008587982015213075,csgd_crps_zero_mass_v1
12h_06476,12,gnn_csgd,,4.4060154967713565,4.404972640337527,-0.0010428564338299676,csgd_crps_zero_mass_v1
12h_06477,12,025,4.9206914182327655,4.9206914182327655,4.919405937710533,-0.0012854805222327177,csgd_crps_zero_mass_v1
12h_06477,12,0125,4.972691039100723,4.972691039100723,4.971887858465788,-0.0008031806349358664,csgd_crps_zero_mass_v1
12h_06477,12,3km,4.927878690375197,4.927878690375197,4.927376498630789,-0.0005021917444061678,csgd_crps_zero_mass_v1
12h_06477,12,gnn_csgd,,4.839554655066163,4.839499919051702,-5.473601446049591e-05,csgd_crps_zero_mass_v1
